ablation,split,task,seed,episodes,action_critical_rmse,occluded_region_rmse,collision_boundary_f1,calibration_error,probe_informativeness,task_success,collision_rate,manipulation_failure_rate,probe_cost,probe_damage,planning_regret_to_oracle,probe_rate
uncertainty_only_probe,combined_interactive_stress,occluded_bin_grasping,1,72,0.056061,0.059904,0.693632,0.055456,0.033369,0.819444,0.027778,0.152778,0.116022,0.138889,0.394966,1.000000
uncertainty_only_probe,combined_interactive_stress,occluded_bin_grasping,2,72,0.056685,0.062730,0.648065,0.049603,0.033578,0.722222,0.055556,0.222222,0.117476,0.180556,0.429833,1.000000
uncertainty_only_probe,combined_interactive_stress,occluded_bin_grasping,3,72,0.055194,0.060759,0.681910,0.052778,0.033463,0.763889,0.041667,0.194444,0.114203,0.097222,0.389752,1.000000
uncertainty_only_probe,combined_interactive_stress,occluded_bin_grasping,4,72,0.053761,0.059796,0.688758,0.052381,0.033497,0.805556,0.013889,0.180556,0.120022,0.138889,0.385914,1.000000
uncertainty_only_probe,combined_interactive_stress,occluded_bin_grasping,5,72,0.056263,0.059345,0.679895,0.052778,0.033515,0.722222,0.041667,0.236111,0.118568,0.208333,0.426822,1.000000
uncertainty_only_probe,combined_interactive_stress,occluded_bin_grasping,6,72,0.056295,0.060952,0.660710,0.055456,0.033382,0.777778,0.055556,0.166667,0.120750,0.138889,0.408539,1.000000
uncertainty_only_probe,combined_interactive_stress,shelf_insertion_clearance,0,72,0.052309,0.057314,0.621537,0.055754,0.029353,0.638889,0.069444,0.291667,0.121805,0.138889,0.412174,1.000000
uncertainty_only_probe,combined_interactive_stress,shelf_insertion_clearance,1,72,0.049606,0.059050,0.633983,0.045734,0.029369,0.708333,0.111111,0.180556,0.124462,0.125000,0.379242,1.000000
uncertainty_only_probe,combined_interactive_stress,shelf_insertion_clearance,2,72,0.050375,0.056982,0.607963,0.049603,0.029107,0.666667,0.041667,0.291667,0.128256,0.236111,0.424165,1.000000
uncertainty_only_probe,combined_interactive_stress,shelf_insertion_clearance,3,72,0.051910,0.057061,0.639238,0.054762,0.029251,0.666667,0.055556,0.277778,0.121805,0.166667,0.408944,1.000000
uncertainty_only_probe,combined_interactive_stress,shelf_insertion_clearance,4,72,0.053511,0.058689,0.640216,0.053968,0.029536,0.708333,0.069444,0.222222,0.117631,0.138889,0.405135,1.000000
uncertainty_only_probe,combined_interactive_stress,shelf_insertion_clearance,5,72,0.052161,0.056559,0.654473,0.052183,0.029478,0.694444,0.055556,0.250000,0.120288,0.125000,0.393785,1.000000
uncertainty_only_probe,combined_interactive_stress,shelf_insertion_clearance,6,72,0.052563,0.058390,0.633764,0.055159,0.029676,0.666667,0.097222,0.236111,0.118770,0.166667,0.411179,1.000000
uncertainty_only_probe,combined_interactive_stress,transparent_container_lift,0,72,0.065651,0.071346,0.605800,0.054762,0.025671,0.236111,0.194444,0.569444,0.116104,0.152778,0.537182,1.000000
uncertainty_only_probe,combined_interactive_stress,transparent_container_lift,1,72,0.064341,0.070755,0.622746,0.052778,0.025527,0.194444,0.166667,0.638889,0.120458,0.208333,0.548728,1.000000
uncertainty_only_probe,combined_interactive_stress,transparent_container_lift,2,72,0.062143,0.068944,0.625489,0.054365,0.025668,0.250000,0.180556,0.569444,0.118281,0.236111,0.532937,1.000000
uncertainty_only_probe,combined_interactive_stress,transparent_container_lift,3,72,0.067941,0.070425,0.598014,0.054960,0.025557,0.250000,0.111111,0.638889,0.117192,0.180556,0.561847,1.000000
uncertainty_only_probe,combined_interactive_stress,transparent_container_lift,4,72,0.066591,0.072177,0.607162,0.051488,0.025578,0.180556,0.152778,0.666667,0.120095,0.263889,0.580336,1.000000
uncertainty_only_probe,combined_interactive_stress,transparent_container_lift,5,72,0.066563,0.074135,0.578678,0.047321,0.025534,0.180556,0.263889,0.555556,0.121909,0.180556,0.561979,1.000000
uncertainty_only_probe,combined_interactive_stress,transparent_container_lift,6,72,0.066243,0.071693,0.625660,0.048413,0.025552,0.194444,0.263889,0.541667,0.120820,0.236111,0.559248,1.000000
uncertainty_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,0,72,0.057992,0.063130,0.610526,0.050794,0.036207,0.152778,0.222222,0.625000,0.131643,0.361111,0.551876,1.000000
uncertainty_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,1,72,0.062642,0.066009,0.631481,0.051687,0.036159,0.180556,0.194444,0.625000,0.130464,0.333333,0.565618,1.000000
uncertainty_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,2,72,0.063464,0.065074,0.639214,0.053075,0.036390,0.152778,0.194444,0.652778,0.132036,0.333333,0.571803,1.000000
uncertainty_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,3,72,0.060524,0.064454,0.628801,0.054960,0.036331,0.166667,0.236111,0.597222,0.127320,0.333333,0.552906,1.000000
uncertainty_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,4,72,0.062304,0.066019,0.617284,0.043155,0.036139,0.097222,0.194444,0.708333,0.134001,0.458333,0.605821,1.000000
uncertainty_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,5,72,0.058730,0.065087,0.630034,0.050397,0.036089,0.236111,0.222222,0.541667,0.135966,0.416667,0.553382,1.000000
uncertainty_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,6,72,0.060675,0.064536,0.606368,0.051587,0.036130,0.125000,0.263889,0.611111,0.130857,0.305556,0.557230,1.000000
action_only_probe,combined_interactive_stress,occluded_bin_grasping,0,72,0.053169,0.064433,0.650545,0.067361,0.021109,0.708333,0.041667,0.250000,0.065219,0.125000,0.392994,1.000000
action_only_probe,combined_interactive_stress,occluded_bin_grasping,1,72,0.054344,0.065689,0.659551,0.073413,0.021358,0.777778,0.041667,0.180556,0.061003,0.125000,0.386702,1.000000
action_only_probe,combined_interactive_stress,occluded_bin_grasping,2,72,0.055064,0.065278,0.680875,0.068948,0.021653,0.736111,0.041667,0.222222,0.064475,0.125000,0.393005,1.000000
action_only_probe,combined_interactive_stress,occluded_bin_grasping,3,72,0.054894,0.065234,0.683853,0.069048,0.021337,0.847222,0.069444,0.083333,0.064227,0.055556,0.359883,1.000000
action_only_probe,combined_interactive_stress,occluded_bin_grasping,4,72,0.053941,0.064065,0.687146,0.065774,0.021699,0.750000,0.041667,0.208333,0.061251,0.111111,0.379737,1.000000
action_only_probe,combined_interactive_stress,occluded_bin_grasping,5,72,0.059167,0.068396,0.645870,0.083929,0.021027,0.680556,0.111111,0.208333,0.065467,0.138889,0.431430,1.000000
action_only_probe,combined_interactive_stress,occluded_bin_grasping,6,72,0.054615,0.065316,0.666898,0.064583,0.021240,0.777778,0.055556,0.166667,0.063731,0.111111,0.384361,1.000000
action_only_probe,combined_interactive_stress,shelf_insertion_clearance,0,72,0.054130,0.061731,0.618593,0.075099,0.018122,0.652778,0.111111,0.236111,0.067008,0.097222,0.403396,1.000000
action_only_probe,combined_interactive_stress,shelf_insertion_clearance,1,72,0.049795,0.060159,0.634508,0.060516,0.017967,0.652778,0.069444,0.277778,0.065456,0.111111,0.379801,1.000000
action_only_probe,combined_interactive_stress,shelf_insertion_clearance,2,72,0.049783,0.058761,0.642967,0.061508,0.017882,0.736111,0.041667,0.222222,0.066232,0.111111,0.368625,1.000000
action_only_probe,combined_interactive_stress,shelf_insertion_clearance,3,72,0.049085,0.059489,0.662841,0.051687,0.018112,0.694444,0.083333,0.222222,0.065456,0.125000,0.365686,1.000000
action_only_probe,combined_interactive_stress,shelf_insertion_clearance,4,72,0.053796,0.061926,0.600240,0.062698,0.018587,0.708333,0.097222,0.194444,0.062352,0.083333,0.395859,1.000000
action_only_probe,combined_interactive_stress,shelf_insertion_clearance,5,72,0.053255,0.063399,0.619518,0.071429,0.018450,0.680556,0.041667,0.277778,0.064939,0.055556,0.389236,1.000000
action_only_probe,combined_interactive_stress,shelf_insertion_clearance,6,72,0.049533,0.061197,0.603348,0.069544,0.018402,0.694444,0.097222,0.208333,0.070889,0.111111,0.379328,1.000000
action_only_probe,combined_interactive_stress,transparent_container_lift,0,72,0.066212,0.072937,0.576509,0.072123,0.015952,0.236111,0.236111,0.527778,0.066545,0.111111,0.533239,1.000000
action_only_probe,combined_interactive_stress,transparent_container_lift,1,72,0.069852,0.073694,0.615191,0.067956,0.016102,0.166667,0.208333,0.625000,0.062835,0.111111,0.555312,1.000000
action_only_probe,combined_interactive_stress,transparent_container_lift,2,72,0.066150,0.074069,0.561075,0.072024,0.016326,0.236111,0.194444,0.569444,0.065308,0.152778,0.548100,1.000000
action_only_probe,combined_interactive_stress,transparent_container_lift,3,72,0.067518,0.073980,0.590754,0.063492,0.016088,0.236111,0.208333,0.555556,0.060855,0.152778,0.547544,1.000000
action_only_probe,combined_interactive_stress,transparent_container_lift,4,72,0.070436,0.074452,0.602987,0.075198,0.016032,0.166667,0.222222,0.611111,0.062092,0.138889,0.566819,1.000000
action_only_probe,combined_interactive_stress,transparent_container_lift,5,72,0.063435,0.072886,0.595378,0.067460,0.015851,0.180556,0.180556,0.638889,0.062835,0.111111,0.522714,1.000000
action_only_probe,combined_interactive_stress,transparent_container_lift,6,72,0.072148,0.074872,0.607911,0.084028,0.015898,0.083333,0.291667,0.625000,0.062835,0.138889,0.582324,1.000000
action_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,0,72,0.059987,0.069402,0.598180,0.077679,0.023940,0.180556,0.208333,0.611111,0.069662,0.291667,0.540915,1.000000
action_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,1,72,0.058285,0.066253,0.584992,0.052877,0.024245,0.263889,0.194444,0.541667,0.068590,0.180556,0.499638,1.000000
action_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,2,72,0.061318,0.068360,0.592412,0.068750,0.023507,0.138889,0.236111,0.625000,0.066983,0.194444,0.532027,1.000000
action_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,3,72,0.058523,0.066083,0.612750,0.064683,0.023412,0.152778,0.236111,0.611111,0.073413,0.305556,0.534378,1.000000
action_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,4,72,0.060215,0.068232,0.600431,0.063988,0.023635,0.222222,0.236111,0.541667,0.065107,0.236111,0.521843,1.000000
action_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,5,72,0.059184,0.068412,0.571522,0.073810,0.023879,0.166667,0.222222,0.611111,0.071269,0.263889,0.537712,1.000000
action_only_probe,combined_interactive_stress,leaf_occluded_fruit_grasp,6,72,0.056289,0.066645,0.598479,0.074008,0.023703,0.277778,0.138889,0.583333,0.071805,0.291667,0.511182,1.000000
