stress_level,method,metric,mean,ci95,n
0.0,visuotactile_probe,mechanism_utility,0.5912979216934958,0.0024468481831499585,10
0.0,visuotactile_probe,occluded_region_rmse,0.06858053073916437,0.0006241115594628537,10
0.0,visuotactile_probe,planning_regret,0.49115240516832503,0.008716720978644149,10
0.0,visuotactile_probe,probe_cost,0.039940102671334646,0.0014515124509411044,10
0.0,visuotactile_probe,probe_damage,0.06208333333333334,0.005181765075764388,10
0.0,visuotactile_probe,probe_informativeness,0.13944257021183512,0.004456689301378315,10
0.0,visuotactile_probe,robust_utility,-0.11110978577502424,0.028989339771153453,10
0.0,visuotactile_probe,task_success,0.523611111111111,0.012723133289929259,10
0.0,visuotactile_probe,useful_probe_precision,0.13706040995893037,0.004605880130380366,10
0.2,action_critical_interactive_depth_v4,action_critical_rmse,0.05413930789301567,0.0005617098560377553,10
0.2,action_critical_interactive_depth_v4,calibration_error,0.13311155622138635,0.0004389823556803331,10
0.2,action_critical_interactive_depth_v4,collision_boundary_f1,0.7791109254873161,0.0012745377492589512,10
0.2,action_critical_interactive_depth_v4,collision_rate,0.22736111111111112,0.00823744024625973,10
0.2,action_critical_interactive_depth_v4,manipulation_failure_rate,0.015694444444444445,0.001771188599076321,10
0.2,action_critical_interactive_depth_v4,mechanism_utility,0.6249484218159157,0.002533964276917373,10
0.2,action_critical_interactive_depth_v4,occluded_region_rmse,0.0664053631004758,0.0005041669055308958,10
0.2,action_critical_interactive_depth_v4,planning_regret,0.48154127220928056,0.007774385833158341,10
0.2,action_critical_interactive_depth_v4,probe_cost,0.040524168803844886,0.0012157145892064977,10
0.2,action_critical_interactive_depth_v4,probe_damage,0.07277777777777777,0.006183700198760296,10
0.2,action_critical_interactive_depth_v4,probe_informativeness,0.1986387504664357,0.005177713402197586,10
0.2,action_critical_interactive_depth_v4,robust_utility,-0.11004782847077052,0.02591263014764748,10
0.2,action_critical_interactive_depth_v4,task_success,0.5398611111111111,0.01322482091383538,10
0.2,action_critical_interactive_depth_v4,useful_probe_precision,0.23361015157294757,0.006396902254659128,10
0.2,active_view_selection,action_critical_rmse,0.03379773835285037,0.00010420143164655024,10
0.2,active_view_selection,calibration_error,0.12764064846558348,0.00023759834878015062,10
0.2,active_view_selection,collision_boundary_f1,0.8293161215780852,0.0006325106786966748,10
0.2,active_view_selection,collision_rate,0.1651388888888889,0.009195310466096358,10
0.2,active_view_selection,manipulation_failure_rate,0.0,0.0,10
0.2,active_view_selection,mechanism_utility,0.594676538283893,0.00028484200182706145,10
0.2,active_view_selection,occluded_region_rmse,0.0394192482952673,0.00018518599131297041,10
0.2,active_view_selection,planning_regret,0.3069125784744203,0.007410628850056048,10
0.2,active_view_selection,probe_cost,0.013897087316750286,0.00019471113141623307,10
0.2,active_view_selection,probe_damage,0.0012499999999999998,0.0008560464360569881,10
0.2,active_view_selection,probe_informativeness,0.033791081281693724,0.0003575214930737704,10
0.2,active_view_selection,robust_utility,0.39948469705438316,0.026020118212090295,10
0.2,active_view_selection,task_success,0.7861111111111112,0.010698175555648677,10
0.2,active_view_selection,useful_probe_precision,0.023487230128543594,0.0003631159900926822,10
0.2,diffusion_depth_policy,action_critical_rmse,0.06791359022254738,0.00017706553111326493,10
0.2,diffusion_depth_policy,calibration_error,0.1879339449404532,0.0003238404850232327,10
0.2,diffusion_depth_policy,collision_boundary_f1,0.733243559475872,0.0007286647405758272,10
0.2,diffusion_depth_policy,collision_rate,0.25430555555555556,0.008820541440476037,10
0.2,diffusion_depth_policy,manipulation_failure_rate,0.018194444444444444,0.002882357883478374,10
0.2,diffusion_depth_policy,mechanism_utility,0.5426303479399925,0.00043703890757892754,10
0.2,diffusion_depth_policy,occluded_region_rmse,0.08152312868537477,0.00016020095380519302,10
0.2,diffusion_depth_policy,planning_regret,0.5023007653175906,0.006586410009158178,10
0.2,diffusion_depth_policy,probe_cost,0.010030711788904894,0.000286447303285384,10
0.2,diffusion_depth_policy,probe_damage,0.0020833333333333337,0.0012992096890750767,10
0.2,diffusion_depth_policy,probe_informativeness,0.011266837267920462,0.00040376220537975406,10
0.2,diffusion_depth_policy,robust_utility,-0.10833953386557896,0.02164425024863304,10
0.2,diffusion_depth_policy,task_success,0.51,0.011815824292181386,10
0.2,diffusion_depth_policy,useful_probe_precision,0.009923924191147633,0.00034870995122702916,10
0.2,ensemble_depth_completion,action_critical_rmse,0.07358395760949213,0.0001517125469192602,10
0.2,ensemble_depth_completion,calibration_error,0.14770862587084146,0.00019078261409399637,10
0.2,ensemble_depth_completion,collision_boundary_f1,0.7291892704228651,0.0006000056774424578,10
0.2,ensemble_depth_completion,collision_rate,0.24583333333333335,0.010858599848606341,10
0.2,ensemble_depth_completion,manipulation_failure_rate,0.04125,0.0044831803483314486,10
0.2,ensemble_depth_completion,mechanism_utility,0.5442962228632228,0.0004064707630329921,10
0.2,ensemble_depth_completion,occluded_region_rmse,0.08796374449327397,0.00017977063883410716,10
0.2,ensemble_depth_completion,planning_regret,0.5551056789213126,0.0034846520656901924,10
0.2,ensemble_depth_completion,probe_cost,0.0016305475279045963,0.0005026723096560941,10
0.2,ensemble_depth_completion,probe_damage,0.0041666666666666675,0.0014631504802467739,10
0.2,ensemble_depth_completion,probe_informativeness,0.01094775321029815,0.00040532400545436855,10
0.2,ensemble_depth_completion,robust_utility,-0.22959901788070644,0.016072478185347887,10
0.2,ensemble_depth_completion,task_success,0.4215277777777778,0.005248079209667711,10
0.2,ensemble_depth_completion,useful_probe_precision,0.010372306277251882,0.0003869902447290705,10
0.2,foundation_depth_prior,action_critical_rmse,0.07730066078442964,0.0001269856497630981,10
0.2,foundation_depth_prior,calibration_error,0.204941606944053,0.00027747766823114683,10
0.2,foundation_depth_prior,collision_boundary_f1,0.6906206460391139,0.0005982572481179547,10
0.2,foundation_depth_prior,collision_rate,0.2905555555555555,0.006323269023103946,10
0.2,foundation_depth_prior,manipulation_failure_rate,0.06236111111111111,0.0054963727283295,10
0.2,foundation_depth_prior,mechanism_utility,0.526596951460352,0.00033429481747948597,10
0.2,foundation_depth_prior,occluded_region_rmse,0.09071291463784961,0.00018077867343040005,10
0.2,foundation_depth_prior,planning_regret,0.66810077736997,0.004528323180302513,10
0.2,foundation_depth_prior,probe_cost,0.004473943071146573,0.0003162092578946586,10
0.2,foundation_depth_prior,probe_damage,0.0011111111111111111,0.000791059437901826,10
0.2,foundation_depth_prior,probe_informativeness,0.011452576142105405,0.0006603922269927509,10
0.2,foundation_depth_prior,robust_utility,-0.5481003581141948,0.016985115867001407,10
0.2,foundation_depth_prior,task_success,0.23291666666666666,0.007993945110908252,10
0.2,foundation_depth_prior,useful_probe_precision,0.010088388704453503,0.0003141967641092345,10
0.2,gaussian_splat_uncertainty,action_critical_rmse,0.07867943085458436,0.00011114920822917134,10
0.2,gaussian_splat_uncertainty,calibration_error,0.13412638901485044,0.00019438347827578298,10
0.2,gaussian_splat_uncertainty,collision_boundary_f1,0.7350729165433421,0.00028020386587733655,10
0.2,gaussian_splat_uncertainty,collision_rate,0.21847222222222223,0.009404261102614355,10
0.2,gaussian_splat_uncertainty,manipulation_failure_rate,0.06583333333333334,0.007362871673925474,10
0.2,gaussian_splat_uncertainty,mechanism_utility,0.5456033037823864,0.0003142521835141614,10
0.2,gaussian_splat_uncertainty,occluded_region_rmse,0.09665827786584032,0.00021202855326510036,10
0.2,gaussian_splat_uncertainty,planning_regret,0.5812429707401621,0.008619650633613512,10
0.2,gaussian_splat_uncertainty,probe_cost,0.00169373062786706,0.0002963625060942993,10
0.2,gaussian_splat_uncertainty,probe_damage,0.003194444444444444,0.001077486596786774,10
0.2,gaussian_splat_uncertainty,probe_informativeness,0.011333104742667728,0.00033623701928806314,10
0.2,gaussian_splat_uncertainty,robust_utility,-0.27026842616415664,0.02701693552246426,10
0.2,gaussian_splat_uncertainty,task_success,0.3765277777777778,0.015577043029642215,10
0.2,gaussian_splat_uncertainty,useful_probe_precision,0.010246307708578936,0.0004087552297604734,10
0.2,learned_depth_completion,action_critical_rmse,0.08592074146460958,0.00014676673964534223,10
0.2,learned_depth_completion,calibration_error,0.22006250923588122,0.00024850428844431187,10
0.2,learned_depth_completion,collision_boundary_f1,0.6612589765848617,0.0006472469298519669,10
0.2,learned_depth_completion,collision_rate,0.3104166666666667,0.013157407407407413,10
0.2,learned_depth_completion,manipulation_failure_rate,0.11458333333333334,0.0081993686815758,10
0.2,learned_depth_completion,mechanism_utility,0.5133977542403636,0.0003000597973282647,10
